step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
54,1,2,-0.1,-1.0,-1.0,0.0,,
55,1,2,0.9,-1.0,-1.0,0.0,,
56,1,2,0.9,-1.0,-1.0,0.0,,
57,1,2,0.9,-1.0,-1.0,0.0,,
58,1,2,0.9,-1.0,-1.0,0.0,,
59,1,0,-0.6,-1.0,-1.0,0.0,,
60,1,1,-0.1,-1.0,-1.0,0.0,,
61,1,2,-0.1,-1.0,-1.0,0.0,,
62,1,2,0.9,-1.0,-1.0,0.0,,
63,1,2,0.9,-1.0,-1.0,0.0,,
64,1,2,0.9,-1.0,-1.0,0.0,,
65,1,2,0.9,-1.0,-1.0,0.0,,
66,1,2,0.9,-1.0,-1.0,0.0,,
67,1,2,0.9,-1.0,-1.0,0.0,,
68,1,0,-0.6,-1.0,-1.0,0.0,,
69,1,2,-0.1,-1.0,-1.0,0.0,,
70,1,2,0.9,-1.0,-1.0,0.0,,
71,1,0,-0.6,-1.0,-1.0,0.0,,
72,1,2,-0.1,-1.0,-1.0,0.0,,
73,1,2,0.9,-1.0,-1.0,0.0,,
74,1,0,-0.6,-1.0,-1.0,0.0,,
75,1,2,-0.1,-1.0,-1.0,0.0,,
76,1,2,0.9,-1.0,-1.0,0.0,,
77,1,2,0.9,-1.0,-1.0,0.0,,
78,1,2,0.9,-1.0,-1.0,0.0,,
79,1,1,-0.1,-1.0,-1.0,0.0,,
80,1,2,-1.1,-1.0,-1.0,0.0,,
81,1,2,0.9,-1.0,-1.0,0.0,,
82,1,2,0.9,-1.0,-1.0,0.0,,
83,1,1,-0.1,-1.0,-1.0,0.0,,
84,1,0,-0.6,-1.0,-1.0,0.0,,
85,1,0,-0.6,-1.0,-1.0,0.0,,
86,1,2,-0.1,-1.0,-1.0,0.0,,
87,1,0,-0.6,-1.0,-1.0,0.0,,
88,1,2,-0.1,-1.0,-1.0,0.0,,
89,1,1,-0.1,-1.0,-1.0,0.0,,
90,1,2,-1.1,-1.0,-1.0,0.0,,
91,1,2,0.9,-1.0,-1.0,0.0,,
92,1,2,0.9,-1.0,-1.0,0.0,,
93,1,0,-0.6,-1.0,-1.0,0.0,,
94,1,2,-0.1,-1.0,-1.0,0.0,,
95,1,2,0.9,-1.0,-1.0,0.0,,
96,1,2,0.9,-1.0,-1.0,0.0,,
97,1,2,3.2886098861694335,0.40430927,-1.0,0.08203125,,
98,1,2,4.653675758838654,0.3734836,-1.0,0.32421875,,
99,1,2,5.960586720705033,0.35038266,-1.0,0.5625,,
100,1,2,7.036313766241074,0.33836225,-1.0,0.765625,,
101,1,0,36.80833792090416,0.37614492,-1.0,0.7578125,,
102,1,2,8.191338086128235,0.33001363,-1.0,0.98828125,,
103,1,0,38.01134472489357,0.3660123,0.45963463,0.98828125,,
104,1,2,7.101015800237656,0.3293281,0.3922104,0.76953125,,
105,1,2,5.875915789604187,0.34387934,0.3687411,0.5390625,,
106,1,2,4.649621599912644,0.36648193,0.35691035,0.31640625,,
107,1,1,5.918384099006653,0.34319818,0.3693589,0.546875,,
108,1,0,35.36818807721138,0.37120613,0.399104,0.46484375,,
109,1,0,5.179353559017182,0.3425668,0.3665474,0.3984375,,
110,1,2,3.834970498085022,0.37316215,0.35654452,0.16015625,,
111,1,2,2.9579125881195067,0.40013623,0.35036552,0.01171875,,
112,1,2,0.9,-1.0,0.35201848,0.0,,
113,1,1,2.9579125881195067,0.40013623,0.3503213,0.01171875,,
114,1,2,0.9,-1.0,0.35242304,0.0,,
115,1,2,0.9,-1.0,0.3627699,0.0,,
116,1,2,0.9,-1.0,0.38428244,0.0,,
117,1,1,-0.1,-1.0,0.3633208,0.0,,
118,1,2,-1.1,-1.0,0.38556454,0.0,,
119,1,0,-0.6,-1.0,0.38732415,0.0,,
120,1,0,-0.6,-1.0,0.39269963,0.0,,
121,1,2,-0.1,-1.0,0.4157812,0.0,,
122,1,1,-0.1,-1.0,0.39194515,0.0,,
123,1,2,-1.1,-1.0,0.41691485,0.0,,
124,1,2,0.9,-1.0,-1.0,0.0,,
125,1,0,-0.6,-1.0,-1.0,0.0,,
126,1,2,-0.1,-1.0,-1.0,0.0,,
127,1,2,0.9,-1.0,-1.0,0.0,,
128,1,0,-0.6,-1.0,-1.0,0.0,,
129,1,2,-0.1,-1.0,-1.0,0.0,,
130,1,2,0.9,-1.0,-1.0,0.0,,
131,1,2,0.9,-1.0,-1.0,0.0,,
132,1,2,0.9,-1.0,-1.0,0.0,,
133,1,2,0.9,-1.0,-1.0,0.0,,
134,1,1,-0.1,-1.0,-1.0,0.0,,
135,1,2,-1.1,-1.0,-1.0,0.0,,
136,1,2,0.9,-1.0,-1.0,0.0,,
137,1,1,-0.1,-1.0,-1.0,0.0,,
138,1,1,0.9,-1.0,-1.0,0.0,,
139,1,2,-0.1,-1.0,-1.0,0.0,,
140,1,2,0.9,-1.0,-1.0,0.0,,
141,1,1,-0.1,-1.0,-1.0,0.0,,
142,1,2,-1.1,-1.0,-1.0,0.0,,
143,1,1,-1.1,-1.0,-1.0,0.0,,
144,1,2,-1.1,-1.0,-1.0,0.0,,
145,1,2,0.9,-1.0,-1.0,0.0,,
146,1,2,0.9,-1.0,-1.0,0.0,,
147,1,2,0.9,-1.0,-1.0,0.0,,
148,1,2,0.9,-1.0,-1.0,0.0,,
149,1,2,0.9,-1.0,-1.0,0.0,,
150,1,2,0.9,-1.0,-1.0,0.0,,
151,1,2,0.9,-1.0,-1.0,0.0,,
152,1,0,-0.6,-1.0,-1.0,0.0,,
153,1,2,-0.1,-1.0,-1.0,0.0,,
154,1,2,0.9,-1.0,-1.0,0.0,,
155,1,0,-0.6,-1.0,-1.0,0.0,,
156,1,2,-0.1,-1.0,-1.0,0.0,,
157,1,2,0.9,-1.0,-1.0,0.0,,
158,1,2,0.9,-1.0,-1.0,0.0,,
159,1,2,0.9,-1.0,-1.0,0.0,,
160,1,1,-0.1,-1.0,-1.0,0.0,,
161,1,2,-1.1,-1.0,-1.0,0.0,,
162,1,1,-1.1,-1.0,-1.0,0.0,,
