step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
56,1,1,-0.1,-1.0,-1.0,0.0,,
57,1,2,-5.1,-1.0,-1.0,0.0,,
58,1,0,-0.6,-1.0,-1.0,0.0,,
59,1,2,-0.1,-1.0,-1.0,0.0,,
60,1,1,-0.1,-1.0,-1.0,0.0,,
61,1,2,-5.1,-1.0,-1.0,0.0,,
62,1,0,-0.6,-1.0,-1.0,0.0,,
63,1,2,-0.1,-1.0,-1.0,0.0,,
64,1,0,-0.6,-1.0,-1.0,0.0,,
65,1,1,-0.1,-1.0,-1.0,0.0,,
66,1,2,-0.1,-1.0,-1.0,0.0,,
67,1,2,-0.1,-1.0,-1.0,0.0,,
68,1,2,0.0,-1.0,-1.0,0.0,,
69,1,1,-0.1,-1.0,-1.0,0.0,,
70,1,2,-5.1,-1.0,-1.0,0.0,,
71,1,2,-0.1,-1.0,-1.0,0.0,,
72,1,2,0.0,-1.0,-1.0,0.0,,
73,1,2,0.0,-1.0,-1.0,0.0,,
74,1,2,0.0,-1.0,-1.0,0.0,,
75,1,2,0.0,-1.0,-1.0,0.0,,
76,1,2,0.0,-1.0,-1.0,0.0,,
77,1,1,-0.1,-1.0,-1.0,0.0,,
78,1,1,-0.1,-1.0,-1.0,0.0,,
79,1,1,0.0,-1.0,-1.0,0.0,,
80,1,0,-0.6,-1.0,-1.0,0.0,,
81,1,1,-0.1,-1.0,-1.0,0.0,,
82,1,1,-0.1,-1.0,-1.0,0.0,,
83,1,1,0.0,-1.0,-1.0,0.0,,
84,1,1,0.0,-1.0,-1.0,0.0,,
85,1,0,-0.6,-1.0,-1.0,0.0,,
86,1,1,-0.1,-1.0,-1.0,0.0,,
87,1,1,-0.1,-1.0,-1.0,0.0,,
88,1,1,0.0,-1.0,-1.0,0.0,,
89,1,1,0.0,-1.0,-1.0,0.0,,
90,1,1,0.0,-1.0,-1.0,0.0,,
91,1,2,-0.1,-1.0,-1.0,0.0,,
92,1,2,-0.1,-1.0,-1.0,0.0,,
93,1,1,-0.1,-1.0,-1.0,0.0,,
94,1,1,-0.1,-1.0,-1.0,0.0,,
95,1,1,0.0,-1.0,-1.0,0.0,,
96,1,1,0.0,-1.0,-1.0,0.0,,
97,1,0,-0.6,-1.0,-1.0,0.0,,
98,1,1,-0.1,-1.0,-1.0,0.0,,
99,1,1,-0.1,-1.0,-1.0,0.0,,
100,1,1,0.0,-1.0,-1.0,0.0,,
101,1,0,-0.6,-1.0,-1.0,0.0,,
102,1,1,-0.1,-1.0,-1.0,0.0,,
103,1,0,-0.6,-1.0,-1.0,0.0,,
104,1,2,-0.1,-1.0,-1.0,0.0,,
105,1,1,-0.1,-1.0,-1.0,0.0,,
106,1,1,-0.1,-1.0,-1.0,0.0,,
107,1,2,-0.1,-1.0,-1.0,0.0,,
108,1,1,-5.1,-1.0,-1.0,0.0,,
109,1,1,-0.1,-1.0,-1.0,0.0,,
